id,minutes_5,position,avg_points_5,avg_influence_5,avg_creativity_5,bps_5,goals_scored_5,assists_5
780,0.0,4,0.0,0.0,0.0,0.0,0,0
242,88.6,3,3.8,16.4,21.160000000000004,15.6,1,1
243,16.0,3,0.8,4.040000000000001,8.8,6.0,0,0
299,90.0,3,2.0,9.919999999999998,10.52,8.8,0,0
300,13.2,3,0.6,2.2,5.0200000000000005,3.2,0,0
301,2.4,3,0.6,2.16,3.4800000000000004,2.0,0,0
302,17.0,3,0.4,0.5599999999999999,1.6,2.4,0,0
303,90.0,3,2.8,21.520000000000003,34.559999999999995,20.0,0,1
304,72.0,3,2.0,11.84,6.279999999999999,6.0,0,0
305,5.8,3,0.4,0.27999999999999997,0.62,1.2,0,0
306,0.0,3,0.0,0.0,0.0,0.0,0,0
307,0.0,3,0.0,0.0,0.0,0.0,0,0
308,0.0,3,0.0,0.0,0.0,0.0,0,0
309,0.0,3,0.0,0.0,0.0,0.0,0,0
310,47.2,4,3.4,18.12,5.38,13.2,2,0
311,42.0,4,2.4,11.16,4.540000000000001,8.0,1,0
312,0.0,4,0.0,0.0,0.0,0.0,0,0
313,0.0,4,0.0,0.0,0.0,0.0,0,0
419,0.0,3,0.0,0.0,0.0,0.0,0,0
704,0.0,3,0.0,0.0,0.0,0.0,0,0
707,0.0,3,0.0,0.0,0.0,0.0,0,0
728,63.4,3,3.6,9.08,4.24,10.0,1,1
779,0.0,4,0.0,0.0,0.0,0.0,0,0
324,31.2,3,1.0,5.0,10.9,6.0,0,0
325,69.2,3,2.2,5.88,4.659999999999999,11.0,0,0
327,0.0,3,0.0,0.0,0.0,0.0,0,0
328,16.0,3,2.2,9.0,0.36,7.2,1,0
329,48.6,3,2.2,8.28,14.64,8.6,0,1
